Fails at:,'_wn1', '_wn2', '_wn3', '_wn5', '_wn7', '_wp0', '_wp1', '_wp3', '_wp5', '_ln1', '_ln3', '_ln5', '_ln7', '_lp0', '_lp1', '_nfn1', '_nfn2', '_nfn3', '_nfn5', '_nfn7', '_nfp0', '_nfp1', '_nfp3', '_nfp5'
0 C - SS,1.669E-04,1.820E-04,1.570E-04,6.232E-05,1.113E-04,2.725E-05,1.818E-04,1.646E-04,6.791E-05,2.294E-06,8.613E-07,3.075E-06,8.269E-07,1.520E-06,1.066E-06,12,10,8,1,14,7,7,9,10
0 C - SNFP / 70 C - FNSP,1.669E-04,2.000E-04,1.175E-04,1.510E-04,1.179E-04,8.938E-05,1.818E-04,1.646E-04,6.791E-05,1.989E-06,8.613E-07,1.950E-06,4.255E-06,1.520E-06,1.066E-06,12,10,6,15,14,9,7,11,10
0 C - FNSP / 70 C - FNSP,1.636E-04,1.824E-04,1.238E-04,1.138E-04,1.113E-04,8.605E-05,9.214E-05,1.465E-04,1.916E-04,8.422E-07,1.813E-06,2.322E-06,1.504E-06,2.419E-06,8.998E-07,3,5,6,4,2,8,13,11,10
